Topic,Title,Content,Date,Link,src
Entertainment,Veteran Saxophonist Manu Dibango Dies After Contracting COVID-19,"The Cameroon veteran jazz singer and saxophonist player has died after contracting the new coronavirus. Manu Dibango is best known for the 1972 hit Soul Makossa which was sampled by various musicians including the late King of Pop, Michael Jackson, and popstar Rihanna.","New Frame, 27 March 2020",https://allafrica.com//view/group/main/main/id/00072509.html,https://cdn04.allafrica.com/download/pic/main/main/csiid/00551523:521128632402dc9a3be75aa617d1ef1e:arc614x376:w416:us1.jpg
Entertainment,Bobi Wine Releases New Song for COVID-19 Awareness,"Ugandan rapper-turned-politician Bobi Wine has released a song titled, Corona Virus Alert, to raise awareness around the growing novel coronavirus outbreak. He collaborated with Nubian Li to spread the message of the importance of personal hygiene and social distancing. The disease has claimed the lives of over 24,000 people worldwide.","VOA, 26 March 2020",https://allafrica.com//view/group/main/main/id/00072574.html,https://cdn06.allafrica.com/download/pic/main/main/csiid/00520976:ce33f1824abd551e2981c72645124843:arc614x376:w416:us1.jpg
Entertainment,Tributes Pour in for African Traditional Healer Credo Mutwa,"Author and traditional healer Credo Mutwa is well known for writing books that drew upon African mythology. Mutwa was hailed a philosopher, psychic, sculptor and storyteller.","Daily Maverick, 26 March 2020",https://allafrica.com//view/group/main/main/id/00072532.html,https://cdn03.allafrica.com/download/pic/main/main/csiid/00551598:3ca8880fe2bcb8c263e022d5d0f0ad1c:arc614x376:w416:us1.jpg
Entertainment,Calls for African Magic Award Attendees to Self-Isolate,The Lagos State government has said that all participants at the African Magic Viewers' Choice Award held on March 14 may have been in contact with a person who tested positive for COVID-19 in Lagos. They advised all attendees to observe strict self-isolation.,"Daily Trust, 25 March 2020",https://allafrica.com//view/group/main/main/id/00072536.html,https://cdn09.allafrica.com/download/pic/main/main/csiid/00550901:e22cc0e7f1256f3af84e1a3ee6c8b7c9:arc614x376:w416:us1.jpg
Entertainment,"COVID-19 Slams Brakes on Major African Concerts, Festivals","As the world seeks to deal with the coronavirus pandemic, concert and festivals promoters are contemplating a difficult year that could be full of postponements and cancellations - a major blow for the entertainment industry.","SAnews.gov.za, 25 March 2020",https://allafrica.com//view/group/main/main/id/00072417.html,https://cdn06.allafrica.com/download/pic/main/main/csiid/00551447:89cd9b02ed8e463e8961a9933f900255:arc614x376:w416:us1.jpg
Entertainment,Nigeria Fishing Festival Resumes After Decade-Long Suspension,"The Argungu Fishing Festival was halted in 2009 because of threats from Boko Haram militants. Authorities have said that with the progress being made by the military in the fight against the militant group, the festival can resume and provide jobs and income to thousands.","Daily Trust, 22 March 2020",https://allafrica.com//view/group/main/main/id/00072491.html,https://cdn07.allafrica.com/download/pic/main/main/csiid/00551565:064bc9ed851f1463e099382a83b253a6:arc614x376:w416:us1.jpg
Entertainment,Veteran Saxophonist Manu Dibango Dies After Contracting COVID-19,"The Cameroon veteran jazz singer and saxophonist player has died after contracting the new coronavirus. Manu Dibango is best known for the 1972 hit Soul Makossa which was sampled by various musicians including the late King of Pop, Michael Jackson, and popstar Rihanna.","New Frame, 27 March 2020",https://allafrica.com//view/group/main/main/id/00072509.html,https://cdn04.allafrica.com/download/pic/main/main/csiid/00551523:521128632402dc9a3be75aa617d1ef1e:arc614x376:w416:us1.jpg
Entertainment,Bobi Wine Releases New Song for COVID-19 Awareness,"Ugandan rapper-turned-politician Bobi Wine has released a song titled, Corona Virus Alert, to raise awareness around the growing novel coronavirus outbreak. He collaborated with Nubian Li to spread the message of the importance of personal hygiene and social distancing. The disease has claimed the lives of over 24,000 people worldwide.","VOA, 26 March 2020",https://allafrica.com//view/group/main/main/id/00072574.html,https://cdn06.allafrica.com/download/pic/main/main/csiid/00520976:ce33f1824abd551e2981c72645124843:arc614x376:w416:us1.jpg
Entertainment,What is Winky D Trying to Say with His New Album?,"The popular dancehall singer took to stage wearing a prison uniform, a move fans believe hints at Zimbabwe imprisoning its citizens. His album - Njema - is slang for handcuffs. Winky D was in trouble with authorities after they reportedly banned state-controlled radio stations from playing his new album, an allegation they denied.","New Zimbabwe,  5 March 2020",https://allafrica.com//view/group/main/main/id/00071469.html,https://cdn06.allafrica.com/download/pic/main/main/csiid/00550337:8d8e81d22b23d1cd1a100c0f5dd3bd0f:arc614x376:w416:us1.jpg
Entertainment,U.S. Rapper Cardi B Can't Wait to Perform in South Africa,Grammy award-winning rapper took to social media to tell her fans to get ready. Cardi B will headline the 2020 edition of the hip-hop culture festival Castle Lite Unlocks at the TicketPro Dome in Johannesburg.,"allAfrica, 21 February 2020",https://allafrica.com//view/group/main/main/id/00072102.html,https://cdn07.allafrica.com/download/pic/main/main/csiid/00551209:31fa48dfea0e086e0299ba94f4159887:arc614x376:w416:us1.jpg
Entertainment,Nigerian Highlife Music Icon Victor Olaiya Dies,"News of Victor Olaiya's death has sent shockwaves throughout the Nigerian music industry, with many entertainers mourning and expressing their condolences. The musician rose to global fame in the 1950s through his blend of gripping highlife sound. He was 89.","Premium Times, 13 February 2020",https://allafrica.com//view/group/main/main/id/00071970.html,https://cdn09.allafrica.com/download/pic/main/main/csiid/00511749:3577123a19422d55712b42691486ec3f:arc614x376:w416:us1.jpg
Entertainment,Guess What Is Afrobeat Star Mr Eazi's New Venture?,"After thrilling fans at California's Coachella festival and being featured on Beyonce's Grammy-nominated The Lion King: The Gift, Nigerian star Mr Eazi's latest venture is closer to home - on a farm. The 28-year-old Afrobeat artist and entrepreneur plans to transform the fortunes of a Ghanaian coastal community of more than 60,000 people, through coconut farming.","Thomson Reuters Foundation, 11 February 2020",https://allafrica.com//view/group/main/main/id/00071961.html,https://cdn06.allafrica.com/download/pic/main/main/csiid/00551072:1b018bff57784537f33679f15da6a663:arc614x376:w416:us1.jpg
Entertainment,"Shaun Ryder: 'I think I've had coronavirus - but I'm fine, I've been isolating for years'",Shaun Ryder has shared his top tips for surviving the national lockdown - saying he is going to repeat his favourite TV series and learn how to play chess.,"Tuesday 31 March 2020 04:13, UK",https://news.sky.com//story/shaun-ryder-i-think-ive-had-coronavirus-but-im-fine-ive-been-isolating-for-years-11965892,https://e3.365dm.com/20/03/768x432/skynews-rihanna-california_4958940.jpg?20200331083027
Entertainment,Rihanna: I'll have kids in next few years - with or without a man,Rihanna has said she will have children in the next few years - with or without a man.,"Tuesday 31 March 2020 09:24, UK",https://news.sky.com//story/rihanna-ill-have-kids-in-the-next-few-years-with-or-without-a-man-11966086,https://e3.365dm.com/20/03/768x432/skynews-rihanna-california_4958940.jpg?20200331083027
Entertainment,James Corden hosts show in garage as A-listers perform from home,"Billie Eilish, John Legend, Will Ferrell and a host of other stars joined James Corden for a special episode of The Late Late Show broadcast from his garage.","Tuesday 31 March 2020 12:51, UK",https://news.sky.com//story/coronavirus-james-corden-hosts-show-in-garage-as-a-listers-perform-from-home-11966201,https://e3.365dm.com/20/03/768x432/skynews-rihanna-california_4958940.jpg?20200331083027
Entertainment,Ghostbusters and Peter Rabbit sequels among latest films delayed,Several major film releases have been postponed until 2021 due to the ongoing coronavirus crisis.,"Tuesday 31 March 2020 11:35, UK",https://news.sky.com//story/coronavirus-ghostbusters-and-peter-rabbit-sequels-among-latest-films-delayed-due-to-pandemic-11966151,https://e3.365dm.com/20/03/768x432/skynews-rihanna-california_4958940.jpg?20200331083027
Entertainment,Chuckle brother reveals he has been suffering from coronavirus,Comedian Paul Chuckle has revealed he has been suffering from coronavirus.,"Tuesday 31 March 2020 04:21, UK",https://news.sky.com//story/coronavirus-comedian-paul-chuckle-reveals-he-has-been-suffering-from-covid-19-11966018,https://e3.365dm.com/20/03/768x432/skynews-rihanna-california_4958940.jpg?20200331083027
